COD_MUNIC,NOME_MUNICIPIO,POPULACAO
3100104,ABADIA DOS DOURADOS,6272
3100203,ABAETÉ,22675
3100302,ABRE CAMPO,13927
3100401,ACAIACA,3909
3100500,AÇUCENA,8943
3100609,ÁGUA BOA,12589
3100708,ÁGUA COMPRIDA,2108
3100807,AGUANIL,4357
3100906,ÁGUAS FORMOSAS,18448
3101003,ÁGUAS VERMELHAS,14037
3101102,AIMORÉS,25269
3101201,AIURUOCA,6233
3101300,ALAGOA,2749
3101409,ALBERTINA,2952
3101508,ALÉM PARAÍBA,30717
3101607,ALFENAS,78970
3101631,ALFREDO VASCONCELOS,6931
3101706,ALMENARA,40364
3101805,ALPERCATA,6903
3101904,ALPINÓPOLIS,18300
3102001,ALTEROSA,13915
3102050,ALTO CAPARAÓ,5795
3102100,ALTO RIO DOCE,10891
3102209,ALVARENGA,3975
3102308,ALVINÓPOLIS,15059
3102407,ALVORADA DE MINAS,4159
3102506,AMPARO DO SERRA,4541
3102605,ANDRADAS,40553
3102704,CACHOEIRA DE PAJEÚ,9110
3102803,ANDRELÂNDIA,11927
3102852,ANGELÂNDIA,7718
3102902,ANTÔNIO CARLOS,11095
3103009,ANTÔNIO DIAS,9219
3103108,ANTÔNIO PRADO DE MINAS,1538
3103207,ARAÇAÍ,2181
3103306,ARACITABA,2049
3103405,ARAÇUAÍ,34297
3103504,ARAGUARI,117808
3103603,ARANTINA,2915
3103702,ARAPONGA,8048
3103751,ARAPORÃ,8479
3103801,ARAPUÁ,2631
3103900,ARAÚJOS,9199
3104007,ARAXÁ,111691
3104106,ARCEBURGO,9177
3104205,ARCOS,41416
3104304,AREADO,13881
3104403,ARGIRITA,2688
3104452,ARICANDUVA,4719
3104502,ARINOS,17272
3104601,ASTOLFO DUTRA,14138
3104700,ATALÉIA,13736
3104809,AUGUSTO DE LIMA,4538
3104908,BAEPENDI,18366
3105004,BALDIM,7492
3105103,BAMBUÍ,23546
3105202,BANDEIRA,4741
3105301,BANDEIRA DO SUL,5943
3105400,BARÃO DE COCAIS,30778
3105509,BARÃO DE MONTE ALTO,4964
3105608,BARBACENA,125317
3105707,BARRA LONGA,5666
3105905,BARROSO,20080
3106002,BELA VISTA DE MINAS,10167
3106101,BELMIRO BRAGA,3244
3106200,BELO HORIZONTE,2315560
3106309,BELO ORIENTE,23928
3106408,BELO VALE,8627
3106507,BERILO,9826
3106606,BERTÓPOLIS,4451
3106655,BERIZAL,4201
3106705,BETIM,411846
3106804,BIAS FORTES,3361
3106903,BICAS,13978
3107000,BIQUINHAS,2383
3107109,BOA ESPERANÇA,39848
3107208,BOCAINA DE MINAS,5348
3107307,BOCAIÚVA,48032
3107406,BOM DESPACHO,51737
3107505,BOM JARDIM DE MINAS,6783
3107604,BOM JESUS DA PENHA,4474
3107703,BOM JESUS DO AMPARO,5631
3107802,BOM JESUS DO GALHO,14536
3107901,BOM REPOUSO,12649
3108008,BOM SUCESSO,17151
3108107,BONFIM,7434
3108206,BONFINÓPOLIS DE MINAS,5528
3108255,BONITO DE MINAS,10204
3108305,BORDA DA MATA,17404
3108404,BOTELHOS,14828
3108503,BOTUMIRIM,5790
3108552,BRASILÂNDIA DE MINAS,15020
3108602,BRASÍLIA DE MINAS,32025
3108701,BRÁS PIRES,4260
3108800,BRAÚNAS,4441
3108909,BRAZÓPOLIS,14246
3109006,BRUMADINHO,38915
3109105,BUENO BRANDÃO,10911
3109204,BUENÓPOLIS,9150
3109253,BUGRE,4041
3109303,BURITIS,24030
3109402,BURITIZEIRO,23910
3109451,CABECEIRA GRANDE,6627
3109501,CABO VERDE,11410
3109600,CACHOEIRA DA PRATA,3693
3109709,CACHOEIRA DE MINAS,11883
3109808,CACHOEIRA DOURADA,2315
3109907,CAETANÓPOLIS,11435
3110004,CAETÉ,38776
3110103,CAIANA,5304
3110202,CAJURI,4088
3110301,CALDAS,14217
3110400,CAMACHO,2838
3110509,CAMANDUCAIA,26097
3110608,CAMBUÍ,29536
3110707,CAMBUQUIRA,12313
3110806,CAMPANÁRIO,2923
3110905,CAMPANHA,15935
3111002,CAMPESTRE,20696
3111101,CAMPINA VERDE,18011
3111150,CAMPO AZUL,3714
3111200,CAMPO BELO,52277
3111309,CAMPO DO MEIO,11377
3111408,CAMPO FLORIDO,8466
3111507,CAMPOS ALTOS,12979
3111606,CAMPOS GERAIS,26105
3111705,CANAÃ,4715
3111804,CANÁPOLIS,10608
3111903,CANA VERDE,5272
3112000,CANDEIAS,14001
3112059,CANTAGALO,3974
3112109,CAPARAÓ,5048
3112208,CAPELA NOVA,4362
3112307,CAPELINHA,39626
3112406,CAPETINGA,6562
3112505,CAPIM BRANCO,10663
3112604,CAPINÓPOLIS,14655
3112653,CAPITÃO ANDRADE,4585
3112703,CAPITÃO ENÉAS,14108
3112802,CAPITÓLIO,10380
3112901,CAPUTIRA,8936
3113008,CARAÍ,19548
3113107,CARANAÍBA,2933
3113206,CARANDAÍ,23812
3113305,CARANGOLA,31240
3113404,CARATINGA,87360
3113503,CARBONITA,8512
3113602,CAREAÇU,6816
3113701,CARLOS CHAGAS,18615
3113800,CARMÉSIA,2605
